S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
2997,08/11/2020,Dadra and Nagar Haveli and Daman and Diu,3273,32,3239,2
2998,09/11/2020,Dadra and Nagar Haveli and Daman and Diu,3274,26,3246,2
2999,10/11/2020,Dadra and Nagar Haveli and Daman and Diu,3274,23,3249,2
3000,11/11/2020,Dadra and Nagar Haveli and Daman and Diu,3275,20,3253,2
3001,12/11/2020,Dadra and Nagar Haveli and Daman and Diu,3275,18,3255,2
3002,13/11/2020,Dadra and Nagar Haveli and Daman and Diu,3278,21,3255,2
3003,14/11/2020,Dadra and Nagar Haveli and Daman and Diu,3281,20,3259,2
3004,15/11/2020,Dadra and Nagar Haveli and Daman and Diu,3285,20,3263,2
3005,16/11/2020,Dadra and Nagar Haveli and Daman and Diu,3291,22,3267,2
3006,17/11/2020,Dadra and Nagar Haveli and Daman and Diu,3294,19,3273,2
3007,18/11/2020,Dadra and Nagar Haveli and Daman and Diu,3297,21,3274,2
3008,19/11/2020,Dadra and Nagar Haveli and Daman and Diu,3305,29,3274,2
3009,20/11/2020,Dadra and Nagar Haveli and Daman and Diu,3307,31,3274,2
3010,21/11/2020,Dadra and Nagar Haveli and Daman and Diu,3316,39,3275,2
3011,22/11/2020,Dadra and Nagar Haveli and Daman and Diu,3317,39,3276,2
3012,23/11/2020,Dadra and Nagar Haveli and Daman and Diu,3321,39,3280,2
3013,24/11/2020,Dadra and Nagar Haveli and Daman and Diu,3325,40,3283,2
3014,25/11/2020,Dadra and Nagar Haveli and Daman and Diu,3325,37,3286,2
3015,26/11/2020,Dadra and Nagar Haveli and Daman and Diu,3327,35,3290,2
3016,27/11/2020,Dadra and Nagar Haveli and Daman and Diu,3328,33,3293,2
3017,28/11/2020,Dadra and Nagar Haveli and Daman and Diu,3330,27,3301,2
3018,29/11/2020,Dadra and Nagar Haveli and Daman and Diu,3330,23,3305,2
3019,30/11/2020,Dadra and Nagar Haveli and Daman and Diu,3332,22,3308,2
3020,01/12/2020,Dadra and Nagar Haveli and Daman and Diu,3332,16,3314,2
3021,02/12/2020,Dadra and Nagar Haveli and Daman and Diu,3334,15,3317,2
3022,03/12/2020,Dadra and Nagar Haveli and Daman and Diu,3340,16,3322,2
3023,04/12/2020,Dadra and Nagar Haveli and Daman and Diu,3340,14,3324,2
3024,05/12/2020,Dadra and Nagar Haveli and Daman and Diu,3340,12,3326,2
3025,06/12/2020,Dadra and Nagar Haveli and Daman and Diu,3341,13,3326,2
3026,07/12/2020,Dadra and Nagar Haveli and Daman and Diu,3342,14,3326,2
3027,08/12/2020,Dadra and Nagar Haveli and Daman and Diu,3346,16,3328,2
3028,09/12/2020,Dadra and Nagar Haveli and Daman and Diu,3351,19,3330,2
3029,10/12/2020,Dadra and Nagar Haveli and Daman and Diu,3354,21,3331,2
3030,11/12/2020,Dadra and Nagar Haveli and Daman and Diu,3354,20,3332,2
3031,12/12/2020,Dadra and Nagar Haveli and Daman and Diu,3355,18,3335,2
3032,13/12/2020,Dadra and Nagar Haveli and Daman and Diu,3356,17,3337,2
3033,14/12/2020,Dadra and Nagar Haveli and Daman and Diu,3356,17,3337,2
3034,15/12/2020,Dadra and Nagar Haveli and Daman and Diu,3359,19,3338,2
3035,17/12/2020,Dadra and Nagar Haveli and Daman and Diu,3360,16,3342,2
3036,18/12/2020,Dadra and Nagar Haveli and Daman and Diu,3361,15,3344,2
3037,19/12/2020,Dadra and Nagar Haveli and Daman and Diu,3362,10,3350,2
3038,20/12/2020,Dadra and Nagar Haveli and Daman and Diu,3363,9,3352,2
3039,21/12/2020,Dadra and Nagar Haveli and Daman and Diu,3363,9,3352,2
3040,22/12/2020,Dadra and Nagar Haveli and Daman and Diu,3363,7,3354,2
3041,23/12/2020,Dadra and Nagar Haveli and Daman and Diu,3364,5,3357,2
3042,24/12/2020,Dadra and Nagar Haveli and Daman and Diu,3365,6,3357,2
3043,25/12/2020,Dadra and Nagar Haveli and Daman and Diu,3367,8,3357,2
3044,26/12/2020,Dadra and Nagar Haveli and Daman and Diu,3370,11,3357,2
3045,27/12/2020,Dadra and Nagar Haveli and Daman and Diu,3372,8,3362,2
3046,28/12/2020,Dadra and Nagar Haveli and Daman and Diu,3373,9,3362,2
3047,29/12/2020,Dadra and Nagar Haveli and Daman and Diu,3374,9,3363,2
3048,30/12/2020,Dadra and Nagar Haveli and Daman and Diu,3375,9,3364,2
3049,31/12/2020,Dadra and Nagar Haveli and Daman and Diu,3375,9,3364,2
3050,03/01/2021,Dadra and Nagar Haveli and Daman and Diu,3378,11,3365,2
3051,04/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,9,3368,2
3052,05/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,8,3369,2
3053,06/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,7,3370,2
3054,07/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,5,3372,2
3055,08/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,5,3372,2
3056,09/01/2021,Dadra and Nagar Haveli and Daman and Diu,3380,5,3373,2
3057,10/01/2021,Dadra and Nagar Haveli and Daman and Diu,3380,4,3374,2
3058,11/01/2021,Dadra and Nagar Haveli and Daman and Diu,3380,2,3376,2
3059,12/01/2021,Dadra and Nagar Haveli and Daman and Diu,3382,4,3376,2
3060,13/01/2021,Dadra and Nagar Haveli and Daman and Diu,3382,4,3376,2
3061,14/01/2021,Dadra and Nagar Haveli and Daman and Diu,3383,4,3377,2
3062,15/01/2021,Dadra and Nagar Haveli and Daman and Diu,3385,6,3377,2
3063,16/01/2021,Dadra and Nagar Haveli and Daman and Diu,3388,9,3377,2
3064,17/01/2021,Dadra and Nagar Haveli and Daman and Diu,3388,9,3377,2
3065,18/01/2021,Dadra and Nagar Haveli and Daman and Diu,3390,11,3377,2
3066,19/01/2021,Dadra and Nagar Haveli and Daman and Diu,3390,11,3377,2
3067,20/01/2021,Dadra and Nagar Haveli and Daman and Diu,3391,9,3380,2
3068,21/01/2021,Dadra and Nagar Haveli and Daman and Diu,3393,11,3380,2
3069,22/01/2021,Dadra and Nagar Haveli and Daman and Diu,3393,10,3381,2
3070,23/01/2021,Dadra and Nagar Haveli and Daman and Diu,3394,10,3382,2
3071,24/01/2021,Dadra and Nagar Haveli and Daman and Diu,3394,10,3382,2
3072,25/01/2021,Dadra and Nagar Haveli and Daman and Diu,3394,6,3386,2
3073,27/01/2021,Dadra and Nagar Haveli and Daman and Diu,3395,5,3388,2
3074,28/01/2021,Dadra and Nagar Haveli and Daman and Diu,3396,6,3388,2
3075,29/01/2021,Dadra and Nagar Haveli and Daman and Diu,3397,7,3388,2
3076,30/01/2021,Dadra and Nagar Haveli and Daman and Diu,3398,8,3388,2
3077,31/01/2021,Dadra and Nagar Haveli and Daman and Diu,3398,6,3390,2
3078,01/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,6,3390,2
3079,02/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,5,3391,2
3080,03/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,4,3392,2
3081,04/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,4,3392,2
3082,05/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,4,3392,2
3083,06/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,2,3394,2
3084,07/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,1,3395,2
3085,08/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,1,3395,2
3086,09/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
3087,10/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
3088,11/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
3089,12/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
3090,13/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
3091,14/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
3092,15/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
3093,16/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
3094,17/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
3095,18/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3096,19/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3097,20/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3098,21/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3099,22/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3100,23/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3101,24/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,2,3398,2
3102,25/02/2021,Dadra and Nagar Haveli and Daman and Diu,3404,4,3398,2
3103,26/02/2021,Dadra and Nagar Haveli and Daman and Diu,3405,5,3398,2
3104,27/02/2021,Dadra and Nagar Haveli and Daman and Diu,3406,4,3400,2
3105,01/03/2021,Dadra and Nagar Haveli and Daman and Diu,3406,4,3400,2
3106,02/03/2021,Dadra and Nagar Haveli and Daman and Diu,3406,4,3400,2
3107,03/03/2021,Dadra and Nagar Haveli and Daman and Diu,3408,6,3400,2
3108,04/03/2021,Dadra and Nagar Haveli and Daman and Diu,3408,6,3400,2
3109,06/03/2021,Dadra and Nagar Haveli and Daman and Diu,3408,6,3400,2
3110,07/03/2021,Dadra and Nagar Haveli and Daman and Diu,3409,5,3402,2
3111,08/03/2021,Dadra and Nagar Haveli and Daman and Diu,3416,12,3402,2
3112,09/03/2021,Dadra and Nagar Haveli and Daman and Diu,3421,17,3402,2
3113,10/03/2021,Dadra and Nagar Haveli and Daman and Diu,3423,17,3404,2
3114,11/03/2021,Dadra and Nagar Haveli and Daman and Diu,3426,20,3404,2
3115,13/03/2021,Dadra and Nagar Haveli and Daman and Diu,3431,24,3405,2
3116,14/03/2021,Dadra and Nagar Haveli and Daman and Diu,3435,28,3405,2
3117,15/03/2021,Dadra and Nagar Haveli and Daman and Diu,3438,31,3405,2
3118,12/03/2020,Delhi,6,6,0,0
3119,13/03/2020,Delhi,6,6,0,0
3120,14/03/2020,Delhi,7,5,1,1
3121,15/03/2020,Delhi,7,4,2,1
3122,16/03/2020,Delhi,7,4,2,1
3123,17/03/2020,Delhi,8,5,2,1
3124,18/03/2020,Delhi,10,7,2,1
3125,19/03/2020,Delhi,12,9,2,1
3126,20/03/2020,Delhi,17,13,3,1
3127,21/03/2020,Delhi,26,20,5,1
3128,22/03/2020,Delhi,29,23,5,1
3129,23/03/2020,Delhi,29,23,5,1
3130,24/03/2020,Delhi,31,24,6,1
3131,25/03/2020,Delhi,30,22,6,2
3132,26/03/2020,Delhi,35,28,6,1
3133,27/03/2020,Delhi,36,29,6,1
3134,28/03/2020,Delhi,39,32,6,1
3135,29/03/2020,Delhi,39,31,6,2
3136,30/03/2020,Delhi,53,45,6,2
3137,31/03/2020,Delhi,97,89,6,2
3138,01/04/2020,Delhi,120,112,6,2
3139,02/04/2020,Delhi,152,144,6,2
3140,03/04/2020,Delhi,219,207,8,4
3141,04/04/2020,Delhi,386,372,8,6
3142,05/04/2020,Delhi,445,424,15,6
3143,06/04/2020,Delhi,503,478,18,7
3144,07/04/2020,Delhi,523,497,19,7
3145,08/04/2020,Delhi,576,546,21,9
3146,09/04/2020,Delhi,669,639,21,9
3147,10/04/2020,Delhi,720,683,25,12
3148,11/04/2020,Delhi,903,865,25,13
3149,12/04/2020,Delhi,1069,1025,25,19
3150,13/04/2020,Delhi,1154,1103,27,24
3151,14/04/2020,Delhi,1510,1452,30,28
3152,15/04/2020,Delhi,1561,1501,30,30
3153,16/04/2020,Delhi,1578,1506,40,32
3154,17/04/2020,Delhi,1640,1551,51,38
3155,18/04/2020,Delhi,1707,1593,72,42
3156,19/04/2020,Delhi,1893,1779,72,42
3157,20/04/2020,Delhi,2003,1886,72,45
3158,21/04/2020,Delhi,2081,1603,431,47
3159,22/04/2020,Delhi,2156,1498,611,47
3160,23/04/2020,Delhi,2248,1476,724,48
3161,24/04/2020,Delhi,2376,1518,808,50
3162,25/04/2020,Delhi,2514,1604,857,53
3163,26/04/2020,Delhi,2625,1702,869,54
3164,27/04/2020,Delhi,2918,1987,877,54
3165,28/04/2020,Delhi,3108,2177,877,54
3166,29/04/2020,Delhi,3314,2182,1078,54
3167,30/04/2020,Delhi,3439,2291,1092,56
3168,01/05/2020,Delhi,3515,2362,1094,59
3169,02/05/2020,Delhi,3738,2510,1167,61
3170,03/05/2020,Delhi,4122,2802,1256,64
3171,04/05/2020,Delhi,4549,3123,1362,64
3172,05/05/2020,Delhi,4898,3403,1431,64
3173,06/05/2020,Delhi,5104,3572,1468,64
3174,07/05/2020,Delhi,5532,3925,1542,65
3175,08/05/2020,Delhi,5980,3983,1931,66
3176,09/05/2020,Delhi,6318,4230,2020,68
3177,10/05/2020,Delhi,6542,4449,2020,73
3178,11/05/2020,Delhi,6923,4781,2069,73
3179,12/05/2020,Delhi,7233,5031,2129,73
3180,13/05/2020,Delhi,7639,5041,2512,86
3181,14/05/2020,Delhi,7998,5034,2858,106
3182,15/05/2020,Delhi,8470,5310,3045,115
3183,16/05/2020,Delhi,8895,5254,3518,123
3184,17/05/2020,Delhi,9333,5278,3926,129
3185,18/05/2020,Delhi,10054,5409,4485,160
3186,19/05/2020,Delhi,10054,5401,4485,168
3187,20/05/2020,Delhi,10554,5636,4750,168
3188,21/05/2020,Delhi,11088,5720,5192,176
3189,22/05/2020,Delhi,11659,5898,5567,194
3190,23/05/2020,Delhi,12319,6214,5897,208
3191,24/05/2020,Delhi,12910,6412,6267,231
3192,25/05/2020,Delhi,13418,6617,6540,261
3193,26/05/2020,Delhi,14053,7006,6771,276
3194,27/05/2020,Delhi,14465,6954,7223,288
3195,28/05/2020,Delhi,15257,7690,7264,303
3196,29/05/2020,Delhi,16281,8470,7495,316
3197,30/05/2020,Delhi,17386,9142,7846,398
3198,31/05/2020,Delhi,18549,10058,8075,416
3199,01/06/2020,Delhi,19844,10893,8478,473
3200,02/06/2020,Delhi,20834,11565,8746,523
3201,03/06/2020,Delhi,22132,12333,9243,556
3202,04/06/2020,Delhi,23645,13497,9542,606
3203,05/06/2020,Delhi,25004,14456,9898,650
3204,06/06/2020,Delhi,26334,15311,10315,708
3205,07/06/2020,Delhi,27654,16229,10664,761
3206,08/06/2020,Delhi,27654,16229,10664,761
3207,09/06/2020,Delhi,29943,17712,11357,874
3208,10/06/2020,Delhi,31309,18543,11861,905
3209,11/06/2020,Delhi,32810,19581,12245,984
3210,12/06/2020,Delhi,34687,20871,12731,1085
3211,13/06/2020,Delhi,36824,22212,13398,1214
3212,14/06/2020,Delhi,38958,22742,14945,1271
3213,15/06/2020,Delhi,41182,24032,15823,1327
3214,16/06/2020,Delhi,42829,25002,16427,1400
3215,17/06/2020,Delhi,44688,26351,16500,1837
3216,18/06/2020,Delhi,47102,27741,17457,1904
3217,19/06/2020,Delhi,49979,26669,21341,1969
3218,20/06/2020,Delhi,53116,27512,23569,2035
3219,21/06/2020,Delhi,56746,23340,31294,2112
3220,22/06/2020,Delhi,59746,24558,33013,2175
3221,23/06/2020,Delhi,62655,23820,36602,2233
3222,24/06/2020,Delhi,66602,24988,39313,2301
3223,25/06/2020,Delhi,70390,26588,41437,2365
3224,26/06/2020,Delhi,73780,26586,44765,2429
3225,27/06/2020,Delhi,77240,27657,47091,2492
3226,28/06/2020,Delhi,80188,28329,49301,2558
3227,29/06/2020,Delhi,83077,27847,52607,2623
3228,30/06/2020,Delhi,85161,26246,56235,2680
3229,01/07/2020,Delhi,87360,26270,58348,2742
3230,02/07/2020,Delhi,89802,27007,59992,2803
3231,03/07/2020,Delhi,92175,26304,63007,2864
3232,04/07/2020,Delhi,94695,26148,65624,2923
3233,05/07/2020,Delhi,97200,25940,68256,3004
3234,06/07/2020,Delhi,99444,25038,71339,3067
3235,07/07/2020,Delhi,100823,25620,72088,3115
3236,08/07/2020,Delhi,102831,25449,74217,3165
3237,09/07/2020,Delhi,104864,23452,78199,3213
3238,10/07/2020,Delhi,107051,21567,82226,3258
3239,11/07/2020,Delhi,109140,21146,84694,3300
3240,12/07/2020,Delhi,110921,19895,87692,3334
3241,13/07/2020,Delhi,112494,19155,89968,3371
3242,14/07/2020,Delhi,113740,19017,91312,3411
3243,15/07/2020,Delhi,115346,18664,93236,3446
3244,16/07/2020,Delhi,116993,17807,95699,3487
3245,17/07/2020,Delhi,118645,17407,97693,3545
3246,18/07/2020,Delhi,120107,17235,99301,3571
3247,19/07/2020,Delhi,121582,16711,101274,3597
3248,20/07/2020,Delhi,122793,16031,103134,3628
3249,21/07/2020,Delhi,123747,15166,104918,3663
3250,22/07/2020,Delhi,125096,15288,106118,3690
3251,23/07/2020,Delhi,126323,14954,107650,3719
3252,24/07/2020,Delhi,127364,14554,109065,3745
3253,25/07/2020,Delhi,128389,13681,110931,3777
3254,26/07/2020,Delhi,129531,12657,113068,3806
3255,27/07/2020,Delhi,130606,11904,114875,3827
3256,28/07/2020,Delhi,131219,10994,116372,3853
3257,29/07/2020,Delhi,132275,10887,117507,3881
3258,30/07/2020,Delhi,133310,10770,118633,3907
3259,31/07/2020,Delhi,134403,10743,119724,3936
3260,01/08/2020,Delhi,135598,10705,120930,3963
3261,02/08/2020,Delhi,136716,10596,122131,3989
3262,03/08/2020,Delhi,137677,10356,123317,4004
3263,04/08/2020,Delhi,138482,10207,124254,4021
3264,05/08/2020,Delhi,139156,9897,125226,4033
3265,06/08/2020,Delhi,140232,10072,126116,4044
3266,07/08/2020,Delhi,141531,10348,127124,4059
3267,08/08/2020,Delhi,142723,10409,128232,4082
3268,09/08/2020,Delhi,144127,10667,129362,4098
3269,10/08/2020,Delhi,145427,10729,130587,4111
3270,11/08/2020,Delhi,146134,10346,131657,4131
3271,12/08/2020,Delhi,147391,10868,132384,4139
3272,13/08/2020,Delhi,148504,10946,133405,4153
3273,14/08/2020,Delhi,149460,10975,134318,4167
3274,15/08/2020,Delhi,150652,11366,135108,4178
3275,16/08/2020,Delhi,151928,11489,136251,4188
3276,17/08/2020,Delhi,152580,10823,137561,4196
3277,18/08/2020,Delhi,153367,10852,138301,4214
3278,19/08/2020,Delhi,154741,11068,139447,4226
3279,20/08/2020,Delhi,156139,11137,140767,4235
3280,21/08/2020,Delhi,157354,11271,141826,4257
3281,22/08/2020,Delhi,158604,11426,142908,4270
3282,23/08/2020,Delhi,160016,11594,144138,4284
3283,24/08/2020,Delhi,161466,11778,145388,4300
3284,25/08/2020,Delhi,162527,11626,146588,4313
3285,26/08/2020,Delhi,164071,11998,147743,4330
3286,27/08/2020,Delhi,165764,12520,148897,4347
3287,28/08/2020,Delhi,167604,13208,150027,4369
3288,29/08/2020,Delhi,169412,13550,151473,4389
3289,30/08/2020,Delhi,171366,14040,152922,4404
3290,31/08/2020,Delhi,173390,14793,154171,4426
3291,01/09/2020,Delhi,174748,14626,155678,4444
3292,02/09/2020,Delhi,177060,15870,156728,4462
3293,03/09/2020,Delhi,179569,16502,158586,4481
3294,04/09/2020,Delhi,182306,17692,160114,4500
3295,05/09/2020,Delhi,185220,18842,161865,4513
3296,06/09/2020,Delhi,188193,19870,163785,4538
3297,07/09/2020,Delhi,191449,20909,165973,4567
3298,08/09/2020,Delhi,193526,20543,168384,4599
3299,09/09/2020,Delhi,197135,22377,170140,4618
3300,10/09/2020,Delhi,201174,23773,172763,4638
3301,11/09/2020,Delhi,205482,25416,175400,4666
3302,12/09/2020,Delhi,209748,26907,178154,4687
3303,13/09/2020,Delhi,214069,28059,181295,4715
3304,14/09/2020,Delhi,218304,28812,184748,4744
3305,15/09/2020,Delhi,221533,28641,188122,4770
3306,16/09/2020,Delhi,225796,29787,191203,4806
3307,17/09/2020,Delhi,230269,30914,194516,4839
3308,18/09/2020,Delhi,234701,31721,198103,4877
3309,19/09/2020,Delhi,238828,32250,201671,4907
3310,20/09/2020,Delhi,242899,32064,205890,4945
3311,21/09/2020,Delhi,246711,32097,209632,4982
3312,22/09/2020,Delhi,249259,30941,213304,5014
3313,23/09/2020,Delhi,253075,31623,216401,5051
3314,24/09/2020,Delhi,256789,30836,220866,5087
3315,25/09/2020,Delhi,260623,31125,224375,5123
3316,26/09/2020,Delhi,264450,30867,228436,5147
3317,27/09/2020,Delhi,267822,29717,232912,5193
3318,28/09/2020,Delhi,271114,29228,236651,5235
3319,29/09/2020,Delhi,273098,27123,240703,5272
3320,30/09/2020,Delhi,276325,27524,243481,5320
3321,01/10/2020,Delhi,279715,26908,247446,5361
3322,02/10/2020,Delhi,282752,26738,250613,5401
3323,03/10/2020,Delhi,285672,26450,253784,5438
3324,04/10/2020,Delhi,287930,25234,257224,5472
3325,05/10/2020,Delhi,290613,24753,260350,5510
3326,06/10/2020,Delhi,292560,23080,263938,5542
3327,07/10/2020,Delhi,295236,22720,266935,5581
3328,08/10/2020,Delhi,298107,22186,270305,5616
3329,09/10/2020,Delhi,300833,22232,272948,5653
3330,10/10/2020,Delhi,303693,21955,276046,5692
3331,11/10/2020,Delhi,306559,22007,278812,5740
3332,12/10/2020,Delhi,309339,21701,281869,5769
3333,13/10/2020,Delhi,311188,20535,284844,5809
3334,14/10/2020,Delhi,314224,21490,286880,5854
3335,15/10/2020,Delhi,317548,21903,289747,5898
3336,16/10/2020,Delhi,321031,22605,292502,5924
3337,17/10/2020,Delhi,324459,22814,295699,5946
3338,18/10/2020,Delhi,327718,22884,298853,5981
3339,19/10/2020,Delhi,331017,23292,301716,6009
3340,20/10/2020,Delhi,333171,22570,304561,6040
3341,21/10/2020,Delhi,336750,23922,306747,6081
3342,22/10/2020,Delhi,340436,24117,310191,6128
3343,23/10/2020,Delhi,344318,25237,312918,6163
3344,24/10/2020,Delhi,348404,26001,316214,6189
3345,25/10/2020,Delhi,352520,26467,319828,6225
3346,26/10/2020,Delhi,356656,26744,323654,6258
3347,27/10/2020,Delhi,359488,25786,327390,6312
3348,28/10/2020,Delhi,364341,27873,330112,6356
3349,29/10/2020,Delhi,370014,29378,334240,6396
3350,30/10/2020,Delhi,375753,30952,338378,6423
3351,31/10/2020,Delhi,381644,32363,342811,6470
3352,01/11/2020,Delhi,386706,32719,347476,6511
3353,02/11/2020,Delhi,392370,34173,351635,6562
3354,03/11/2020,Delhi,396371,33308,356459,6604
3355,04/11/2020,Delhi,403096,36375,360069,6652
3356,05/11/2020,Delhi,409938,37369,365866,6703
3357,06/11/2020,Delhi,416653,38729,371155,6769
3358,07/11/2020,Delhi,423831,39722,377276,6833
3359,08/11/2020,Delhi,430784,40258,383614,6912
3360,09/11/2020,Delhi,438529,41857,389683,6989
3361,10/11/2020,Delhi,443552,39795,396697,7060
3362,11/11/2020,Delhi,451382,41385,402854,7143
3363,12/11/2020,Delhi,459975,42629,410118,7228
3364,13/11/2020,Delhi,467028,43116,416580,7332
3365,14/11/2020,Delhi,474830,44329,423078,7423
3366,15/11/2020,Delhi,482170,44456,430195,7519
3367,16/11/2020,Delhi,485405,39990,437801,7614
3368,17/11/2020,Delhi,489202,40128,441361,7713
3369,18/11/2020,Delhi,495598,42004,445782,7812
3370,19/11/2020,Delhi,503084,42458,452683,7943
3371,20/11/2020,Delhi,510630,43221,459368,8041
3372,21/11/2020,Delhi,517238,40936,468143,8159
3373,22/11/2020,Delhi,523117,39741,475106,8270
3374,23/11/2020,Delhi,529863,40212,481260,8391
3375,24/11/2020,Delhi,534317,37329,488476,8512
3376,25/11/2020,Delhi,540541,38501,493419,8621
3377,26/11/2020,Delhi,545787,38287,498780,8720
3378,27/11/2020,Delhi,551262,38734,503717,8811
3379,28/11/2020,Delhi,556744,38181,509654,8909
3380,29/11/2020,Delhi,561742,36578,516166,8998
3381,30/11/2020,Delhi,566648,35091,522491,9066
3382,01/12/2020,Delhi,570374,32885,528315,9174
3383,02/12/2020,Delhi,574380,31769,533351,9260
3384,03/12/2020,Delhi,578324,30302,538680,9342
3385,04/12/2020,Delhi,582058,29120,543514,9424
3386,05/12/2020,Delhi,586125,28252,548376,9497
3387,06/12/2020,Delhi,589544,26678,553292,9574
3388,07/12/2020,Delhi,592250,24693,557914,9643
3389,08/12/2020,Delhi,593924,22486,561732,9706
3390,09/12/2020,Delhi,597112,22310,565039,9763
3391,10/12/2020,Delhi,599575,20546,569216,9813
3392,11/12/2020,Delhi,601150,18753,572523,9874
3393,12/12/2020,Delhi,603535,18676,574925,9934
3394,13/12/2020,Delhi,605470,17373,578116,9981
3395,14/12/2020,Delhi,607454,16785,580655,10014
3396,15/12/2020,Delhi,608830,15247,583509,10074
3397,17/12/2020,Delhi,611994,13261,588586,10147
3398,18/12/2020,Delhi,613357,12198,590977,10182
3399,19/12/2020,Delhi,614775,11419,593137,10219
3400,20/12/2020,Delhi,615914,10358,595305,10251
3401,21/12/2020,Delhi,617005,10148,596580,10277
3402,22/12/2020,Delhi,617808,9255,598249,10304
3403,23/12/2020,Delhi,618747,8735,599683,10329
3404,24/12/2020,Delhi,619618,8003,601268,10347
3405,25/12/2020,Delhi,620681,7909,602388,10384
3406,26/12/2020,Delhi,621439,7267,603758,10414
3407,27/12/2020,Delhi,622094,6911,604746,10437
3408,28/12/2020,Delhi,622851,6713,605685,10453
3409,29/12/2020,Delhi,623415,6297,606644,10474
3410,30/12/2020,Delhi,624118,6122,607494,10502
3411,31/12/2020,Delhi,624795,5838,608434,10523
3412,03/01/2021,Delhi,626448,5342,610535,10571
3413,04/01/2021,Delhi,626872,5044,611243,10585
3414,05/01/2021,Delhi,627256,4689,611970,10597
3415,06/01/2021,Delhi,627698,4562,612527,10609
3416,07/01/2021,Delhi,628352,4481,613246,10625
3417,08/01/2021,Delhi,628838,4168,614026,10644
3418,09/01/2021,Delhi,629282,3779,614849,10654
3419,10/01/2021,Delhi,629801,3683,615452,10666
3420,11/01/2021,Delhi,630200,3468,616054,10678
3421,12/01/2021,Delhi,630506,3354,616461,10691
3422,13/01/2021,Delhi,630892,3179,617006,10707
3423,14/01/2021,Delhi,631249,2991,617540,10718
3424,15/01/2021,Delhi,631589,2937,617930,10722
3425,16/01/2021,Delhi,631884,2795,618357,10732
3426,17/01/2021,Delhi,632183,2691,618754,10738
3427,18/01/2021,Delhi,632429,2544,619139,10746
3428,19/01/2021,Delhi,632590,2335,619501,10754
3429,20/01/2021,Delhi,632821,2334,619723,10764
3430,21/01/2021,Delhi,633049,2147,620128,10774
3431,22/01/2021,Delhi,633276,2120,620374,10782
3432,23/01/2021,Delhi,633542,2060,620693,10789
3433,24/01/2021,Delhi,633739,1880,621060,10799
3434,25/01/2021,Delhi,633924,1741,621375,10808
3435,27/01/2021,Delhi,634229,1626,621783,10820
3436,28/01/2021,Delhi,634325,1501,621995,10829
3437,29/01/2021,Delhi,634524,1575,622114,10835
3438,30/01/2021,Delhi,634773,1551,622381,10841
3439,31/01/2021,Delhi,634956,1436,622671,10849
3440,01/02/2021,Delhi,635096,1361,622882,10853
3441,02/02/2021,Delhi,635217,1265,623096,10856
3442,03/02/2021,Delhi,635331,1217,623256,10858
3443,04/02/2021,Delhi,635481,1208,623409,10864
3444,05/02/2021,Delhi,635639,1194,623574,10871
3445,06/02/2021,Delhi,635793,1206,623714,10873
3446,07/02/2021,Delhi,635916,1174,623865,10877
3447,08/02/2021,Delhi,636035,1112,624044,10879
3448,09/02/2021,Delhi,636160,1096,624182,10882
3449,10/02/2021,Delhi,636260,1052,624326,10882
3450,11/02/2021,Delhi,636387,1177,624326,10884
3451,12/02/2021,Delhi,636529,1051,624592,10886
3452,13/02/2021,Delhi,636670,1053,624728,10889
3453,14/02/2021,Delhi,636796,1041,624866,10889
